OBJECTID,Structure,Type,Long,Lat
170,Splice Box,CL s/w box (small),-123.359640267181,48.4309013623578
171,Splice Box,CL s/w box (small),-123.35971089404,48.432064305276
172,Light or Signal Pole,Merc street lamp,-123.35971027251,48.4320683781592
173,Light or Signal Pole,Merc street lamp,-123.362495398696,48.4358281150737
174,Light or Signal Pole,Merc street lamp,-123.362252233116,48.4356147256716
175,Light or Signal Pole,Merc street lamp,-123.358481330094,48.4308643706007
176,Splice Box,CL s/w box (large),-123.358481367106,48.4307048191842
177,Splice Box,CL s/w box (large),-123.35848426969,48.4308446544895
178,Ornamental Lamp,Ornamental lamp std,-123.358613144552,48.4300348049717
179,Splice Box,CL s/w box (small),-123.358494408167,48.4308384324128
180,Ornamental Lamp,Ornamental lamp std,-123.358600312214,48.4301283362784
181,Light or Signal Pole,Merc street lamp,-123.358708395262,48.4308854832897
182,Splice Box,CL s/w box (large),-123.358720247766,48.4308838575977
183,Splice Box,CL s/w box (large),-123.369967348409,48.435888395699
184,Splice Box,CL s/w box (small),-123.368152515555,48.4359080246554
185,Splice Box,CL s/w box (small),-123.370250787218,48.4360265244688
186,Splice Box,CL s/w box (small),-123.367422618263,48.4351927952134
187,Splice Box,CL s/w box (small),-123.367415979638,48.4348204146576
188,Light or Signal Pole,Merc street lamp,-123.364636195921,48.4301502442554
189,Splice Box,CL s/w box (small),-123.364649009817,48.4303368194471
190,Light or Signal Pole,Merc street lamp,-123.364703007624,48.430316712128
191,Splice Box,CL s/w box (small),-123.364652236649,48.4306890427356
192,Cluster Lamp,Cluster lights (crossed),-123.364657527638,48.4306897727031
193,Splice Box,CL s/w box (small),-123.364291649581,48.4303218668785
194,Light or Signal Pole,Merc street lamp,-123.364346230303,48.4303509771896
195,Cluster Lamp,Cluster lights (crossed),-123.364396006251,48.4316633284138
196,Splice Box,CL s/w box (small),-123.364401803324,48.4316629772056
197,Splice Box,CL s/w box (small),-123.364690887531,48.4316626004917
198,Cluster Lamp,Cluster lights (crossed),-123.364696237719,48.4316621427245
199,Splice Box,CL s/w box (small),-123.364391727619,48.4314098215077
200,Splice Box,CL s/w box (small),-123.367104834713,48.4336627929089
201,Light or Signal Pole,Merc street lamp,-123.365216654209,48.4311491222824
202,Splice Box,CL s/w box (small),-123.36522769411,48.4311514605783
203,Light or Signal Pole,Merc street lamp,-123.365668631157,48.4311418417272
204,Junction Box,CL above grd junction box,-123.367293827172,48.4302775530306
205,Splice Box,CL splice box 0.6m,-123.367352848857,48.4301538598974
206,Light or Signal Pole,Merc street lamp,-123.367252604958,48.4301083330823
